machine_type,maintenance_interval,operating_mode,environment,vibration_level_mm_s,temperature_F,pressure_PSI,load_factor,days_to_failure
Pump,180,Overload,Dusty,1.548956867074129,61.11609859228305,76.51563315415822,0.4444409576714987,152.64097678410076
Motor,120,Idle,Outdoor,2.5303214652430825,72.82716303063177,115.38876978578917,0.1416172449866172,142.17457541267902
Compressor,90,Idle,Dusty,2.532673813270815,70.02732386077662,103.63520917547086,0.10249632918921281,134.33976779775165
Motor,30,Standby,Outdoor,1.6828284470821608,68.59095650751917,79.80795946066087,0.5354649496569541,143.6778803302189
Motor,90,Standby,Humid,2.859425245202411,64.82963330608553,79.7090719329356,0.08514363655608215,141.41743131617235
Lathe,90,Overload,Dusty,1.8564466537348754,84.41257854794797,105.81147807376391,0.30294516789008397,143.22534477268704
Compressor,180,Standby,Dusty,2.0423914323219794,68.55613071201972,120.62198371844748,0.744596975963076,123.56032244124093
Compressor,120,Standby,Indoor,1.957673729075786,55.05054714186715,83.5482124382598,0.9644321795679808,117.3038550835373
Compressor,60,Overload,Outdoor,2.2618801087228397,77.64297821975434,111.79906162924115,0.7178705805519285,119.51891552081756
Motor,120,Standby,Humid,2.1357107469004712,82.25199472673185,91.86643422958255,0.9926255484528702,102.51914333238072
Pump,120,Production,Indoor,2.1289810807908287,67.03983934784122,112.3479115403933,0.6983379712794027,117.53662769107814
Compressor,90,Idle,Indoor,1.490219184140057,69.40337310216034,110.24786365547969,0.2937944706543275,162.34679201513313
Conveyor,120,Idle,Humid,1.1557188416051578,68.50946279571627,102.32949762223659,0.6720525405053619,136.87586692283327
Motor,30,Idle,Indoor,2.571080014126431,71.5334663856989,72.48413040579126,0.7021567651969038,117.20847443602945
Lathe,90,Idle,Outdoor,1.7272770005301283,86.06850182189822,110.2177847518617,0.3717269846164606,146.26851870727631
Pump,30,Overload,Outdoor,1.975483313283261,73.85940827627644,107.53028906495297,0.017713850609389015,152.14345988591083
Conveyor,60,Idle,Dusty,2.1633994549448903,83.39593545667205,106.15644629791754,0.703199784775487,114.2602450003024
Conveyor,90,Idle,Indoor,2.814504801674634,65.31168368453247,102.93511094846467,0.02170009527554162,143.88931612979312
Lathe,60,Idle,Dusty,2.080678962321254,71.16309580419016,86.81819667501838,0.6311880780600712,125.39061317257185
Pump,90,Idle,Indoor,1.8026012185379514,84.54013815847307,116.24444156528668,0.16361648874255508,157.648273889042
Motor,180,Production,Outdoor,1.7382278093565713,66.94394601573741,113.47209581224953,0.5656035277480433,133.00970005301207
CNC Mill,120,Idle,Outdoor,1.9813215793790306,85.1213646090853,83.86865834733003,0.5039130253806,126.08439961445175
Pump,180,Production,Outdoor,1.5453176151796937,68.71615909004862,119.71442515776627,0.013513642306182572,176.57649853018145
Lathe,60,Overload,Indoor,2.014437861574505,71.78337484941581,101.9750415195308,0.36286581699510345,139.06152035235107
Conveyor,120,Standby,Outdoor,1.973990155770993,91.70162587348925,101.93705429717758,0.6010911673963028,114.93592699868789
Motor,90,Idle,Indoor,2.8207634743220757,70.64181022833769,97.35466995371976,0.8486065518987798,102.1485712132994
Pump,120,Standby,Dusty,1.9581994307045394,76.45345802750634,98.83009905122417,0.8886421138365173,117.20537938886525
CNC Mill,30,Standby,Indoor,1.037755919475575,81.16436422521735,120.56348782464654,0.4838499700332233,147.50599614547718
CNC Mill,120,Overload,Dusty,3.336755485198239,77.26508649672012,115.49612476897774,0.7284224872994381,95.98306463674096
Compressor,30,Standby,Indoor,2.4784168655780485,77.55053348889577,115.17770625459123,0.31645457653345765,123.95059164694543
Compressor,120,Production,Dusty,3.0411743720477924,74.43460256018265,102.76846528818068,0.34218640575865744,113.244755573927
Lathe,30,Standby,Outdoor,1.4213400065077577,61.97760790983677,113.33757585301595,0.19446351918231375,163.66078855454765
Pump,60,Standby,Dusty,1.8890866093718541,78.48289330099759,87.48530388939142,0.5619481099932393,132.8295027623608
Pump,180,Standby,Outdoor,2.3372006207471596,67.67531542988345,108.751644677471,0.3145641509273652,142.49761222867227
Conveyor,90,Idle,Outdoor,2.2681956861422297,82.75767217403177,97.69767952046548,0.08437089643850504,138.12862513092395
Conveyor,120,Idle,Dusty,2.153468853679776,88.72061423949685,69.10292518887516,0.6850060866631787,116.94211499716002
Conveyor,180,Production,Indoor,0.900194640749723,56.94442738582985,76.20847511767055,0.7077532076053982,153.96876831399464
Compressor,90,Production,Indoor,1.143780271217843,88.73807827427105,90.0553182986617,0.35999241877905785,145.35971102729812
Pump,90,Idle,Humid,2.758760054531936,70.88942208132957,106.22730976523066,0.0767233994560228,133.87297613578033
Pump,30,Production,Indoor,2.847664766434845,73.69050777815528,90.06880317499046,0.4262977174034259,121.0356806865758
CNC Mill,60,Idle,Humid,1.9466743542818021,65.8761254748761,91.13324893922936,0.44233545805021546,147.45949339524236
Compressor,60,Overload,Indoor,2.695213737203191,76.88467729066276,111.44891382812263,0.668670884897893,109.39745451959996
Motor,180,Standby,Indoor,1.488386116928351,75.66814883177406,91.67481820825469,0.3154163912586835,146.95277943558062
Compressor,60,Standby,Outdoor,1.6027869732656597,85.7692282529285,119.96210863051617,0.6825992797813054,116.58957098376015
Motor,120,Production,Humid,1.4488598390684253,67.58606723369743,117.47685609730202,0.8714885417573883,136.3027967483564
CNC Mill,60,Idle,Indoor,1.575040227155677,91.60802401937909,100.32821980856977,0.23748604236219983,151.03013438068575
Lathe,180,Idle,Humid,2.3613480047613096,81.6471408630889,111.30192177487493,0.9789195561198998,99.51387591109238
Pump,60,Production,Outdoor,1.5688238134682777,75.90968976775409,109.25860681534573,0.38636813713680696,153.7402418262444
CNC Mill,120,Idle,Outdoor,3.119871519963932,73.1921563610451,96.31502086060895,0.26725868514706175,123.7631526616137
Pump,30,Overload,Humid,2.230035303173719,71.9343055286615,112.92451994458219,0.4215111825102905,130.70139729359192
Conveyor,180,Standby,Outdoor,2.542263523247544,72.58656225593495,115.13353083085791,0.09439747590385916,145.9172358371397
Lathe,30,Production,Dusty,2.2449702914000365,76.68401956935473,85.71347153814399,0.12570590651211566,141.32466068037715
Lathe,30,Production,Dusty,2.6071348252296396,72.91000039306267,102.30322957481111,0.4144340469683314,120.70236186119342
CNC Mill,30,Idle,Outdoor,1.5660000002307264,68.59470543492513,102.13755733864248,0.7624445219391001,135.11845672900427
Lathe,90,Production,Dusty,2.7234667690997787,76.74459294836703,112.74429201176056,0.9003122395744909,101.4215500029168
Motor,90,Overload,Indoor,2.0704694427957184,66.63711881274612,93.34212474325994,0.6648179907162709,120.66246079946198
Lathe,30,Idle,Humid,2.6046330554843697,78.22466901001746,91.03359500835357,0.10521955523816973,132.35003821118607
Pump,180,Idle,Indoor,1.280217973311908,72.76932964519258,102.5349949046673,0.672019762180535,137.18473913397372
Pump,120,Idle,Humid,2.0902916033041814,81.96730909231844,117.7203883488036,0.6354279207029719,116.88259318671027
Pump,120,Idle,Outdoor,2.0726193583908326,84.89074210695478,82.009343268851,0.8057639182933313,113.19648967986622
Pump,60,Overload,Indoor,1.6903817675102792,84.88680560344739,84.62790769994308,0.8252486666521809,117.7267777042896
Motor,180,Idle,Outdoor,2.156559414873632,78.18105056052626,92.19242638044118,0.8682030757789789,115.1926639214983
Compressor,90,Production,Outdoor,2.769803424000757,79.34831220766846,94.86134391877671,0.41413151457909836,120.80948831336562
Conveyor,30,Overload,Humid,1.6519238205184394,71.77248973881565,73.51625796343728,0.6978643953521443,127.9591748042578
CNC Mill,60,Standby,Humid,2.480927178102469,81.77639688483347,122.47292930372721,0.26825035892231075,121.62509573998612
Pump,120,Standby,Humid,1.436288471926746,82.90501360661723,98.04540112976332,0.9993362799835043,115.75218968036715
Lathe,90,Production,Indoor,3.05472229732123,59.32670846475472,95.79843213730042,0.17533424137685993,126.92384720117366
Pump,90,Production,Dusty,2.392300159218354,78.78347195607263,124.33956307053126,0.01011443166083581,143.97176306995064
Lathe,30,Overload,Humid,2.862558666129286,88.68129807708867,110.76690242685719,0.148808714518176,122.35910802247777
Conveyor,120,Standby,Humid,2.3360302595468836,71.43709705395216,91.96867183999977,0.7758722895441267,111.22509623046274
Conveyor,180,Standby,Indoor,2.195306588864681,69.2545302386612,102.46911767962233,0.4467836765082115,127.54724797833089
Conveyor,90,Standby,Humid,2.396466470242959,70.8013653891368,99.37394301435282,0.4475002478104283,125.66859246950126
Lathe,30,Standby,Indoor,1.9317762683229143,59.95124007170873,121.72526285393914,0.9550229196116685,124.3672315093629
Pump,180,Standby,Outdoor,1.1910830472208391,76.25983954448911,97.4886369747461,0.9196349080280742,132.7824163198096
Conveyor,120,Idle,Humid,2.223699673233396,75.29965440097251,78.36910687212685,0.3111947378040092,144.97894132197519
Motor,90,Production,Humid,1.6222483327001227,76.970268328773,71.84163839792056,0.20905812878086616,153.6677253712866
Lathe,180,Idle,Outdoor,1.4491690423102987,79.15976621217803,122.12742021110031,0.8484822099337397,125.36872119550924
Lathe,180,Standby,Outdoor,2.318146584219305,67.02006597818523,88.17077953356055,0.9060190710443632,115.62913886277141
Pump,180,Overload,Outdoor,1.8604457625501531,77.73199199022044,110.05317483449966,0.5415969227984869,124.49193782927678
Lathe,90,Overload,Humid,2.5138522033028448,79.4319865991573,101.07645146072578,0.6294237111171005,117.56391961202792
Lathe,90,Standby,Dusty,1.6055296156204648,70.11608269182967,93.75017818182614,0.2569142846922934,161.4973757240395
Conveyor,60,Standby,Dusty,1.7645855117430869,79.20117998251973,96.10228874495311,0.8008026879785246,115.62276374476403
Pump,120,Overload,Dusty,2.575148013150697,75.80706626386741,123.75066822294299,0.6321224284490231,120.90058091061951
Conveyor,30,Idle,Humid,2.1399213304988045,68.6881023055662,78.27904857035313,0.5035135112979966,142.9704270738489
Conveyor,180,Idle,Outdoor,1.26133597954693,77.82788696483676,94.20317153866111,0.060108556078395825,171.74314247527735
Pump,60,Standby,Humid,2.1288804414300557,72.09289256646781,113.59848641025552,0.9159349625111537,113.55171860590791
CNC Mill,30,Idle,Outdoor,2.740619274294402,81.97065274014388,80.75282487330615,0.615451420384406,102.83083687917342
Conveyor,60,Overload,Humid,1.7607112776892664,72.60833619930962,119.75924211666377,0.19269109469296797,159.1930712571161
Motor,90,Idle,Humid,2.2990288482264543,62.1023441823494,113.38374573630438,0.6063861169830528,122.52099183195801
Motor,180,Standby,Outdoor,1.5753065424220476,77.6698698552765,104.07693527698505,0.6774633542399734,132.63447052512396
Lathe,30,Overload,Dusty,1.9316083625152856,77.29403247831435,92.45264643588598,0.5257703366832255,133.78777521303095
Motor,30,Idle,Outdoor,2.5449177682252166,64.18862887202339,78.82650767224064,0.7181017379560225,99.62097824177019
Lathe,30,Production,Indoor,2.109615833877487,82.50536115435305,110.60568841201106,0.5814539479286243,124.51132226652128
CNC Mill,30,Overload,Indoor,2.6446349313578184,81.9822083613548,141.2296740172583,0.9477695820321482,106.83509202295127
Pump,30,Overload,Outdoor,2.2126512021139306,66.30019807525092,102.18838803875288,0.053697078599306836,144.45274087877823
Pump,60,Production,Humid,3.109369838600421,68.40373698940088,72.60931883902148,0.1062457084695605,133.02898933974745
Pump,180,Production,Indoor,1.2175433153903654,73.57992386970473,106.86274735190122,0.17367163695433985,155.44001302595024
Motor,90,Overload,Indoor,1.8914033249695175,67.41147868962362,112.90394457101793,0.6901710706043321,124.48693343155537
CNC Mill,90,Production,Humid,1.4577331033539744,81.40397184911677,86.23221352156094,0.6455958727498087,123.21467409677017
Motor,90,Standby,Humid,1.4918754127708753,76.4897194932721,90.31732110865906,0.892058860209694,123.11240062244784
Motor,90,Standby,Dusty,1.4964081530969802,64.06442854111765,88.78932656880562,0.7328774528838984,140.3637740396046
CNC Mill,60,Standby,Humid,2.0838629110256104,66.7752908715071,92.02954199704467,0.5083554875645923,136.5660151293501
CNC Mill,120,Overload,Outdoor,2.1131504674109336,86.87719177166402,97.41755328582931,0.9918317924636303,95.05589279547996
CNC Mill,180,Production,Outdoor,2.213727962497558,90.35562377915416,87.08648337259746,0.26610795616929916,129.19525726902717
CNC Mill,30,Production,Dusty,1.438469719927724,80.38728976052508,81.46243387971663,0.833191659785454,125.73874116233848
Pump,120,Idle,Indoor,1.8378875905008547,72.88724744849686,102.61563078512526,0.42679037219391935,135.96448590534388
Compressor,90,Idle,Indoor,1.517852680121816,70.60037087593423,97.2600694020445,0.6487351388757342,130.26202847323165
Compressor,120,Production,Humid,2.467940778135858,80.49699418311005,93.45637344824775,0.727268470452434,107.83362852259633
CNC Mill,180,Production,Outdoor,1.564866224909513,75.75920534259487,101.24784575082272,0.6337540871903363,129.4118274246334
Compressor,30,Production,Indoor,1.8931439240020593,58.89928552585623,77.19736441662334,0.14050730310859327,162.71990318786925
Compressor,30,Overload,Dusty,2.280153220661553,85.31867982534831,103.9480438449514,0.44295101074793275,131.08353213828275
CNC Mill,180,Production,Dusty,1.6921856627512177,88.4580326736287,93.76467699565656,0.5614383779331243,141.8432685250339
Compressor,180,Idle,Outdoor,2.346939222490327,82.37252532943198,103.59234202169169,0.8490437591785968,106.11309948724586
Motor,90,Overload,Dusty,2.7980398677665743,64.08388805371791,105.99473658128451,0.4436457487985723,128.04483199197864
Lathe,30,Production,Dusty,2.0948558643627626,68.6317355027666,116.96726917429267,0.9187473048042515,109.85306300467823
Lathe,120,Idle,Outdoor,2.4508054572842037,56.42280138642289,101.54431625483367,0.4403742230252107,133.06689513873624
CNC Mill,60,Overload,Humid,0.9632895555318086,90.96048491395555,116.0007824508149,0.5487798592630116,149.23525470194016
Pump,60,Production,Humid,1.7854740365760746,71.43261436740973,95.17130288304864,0.796285682942801,122.37828893689971
CNC Mill,180,Production,Dusty,2.0924504084644884,98.33289321649782,95.88733729953366,0.5830676844221436,115.19589789438305
Pump,90,Production,Humid,1.4735174607998465,94.55230030907778,98.63607740764488,0.9602180723828246,116.35747536096463
Lathe,60,Overload,Humid,2.103824667702046,65.96573583631056,111.61187351017318,0.6603358305141276,125.58071134266449
CNC Mill,30,Idle,Dusty,2.5299702780295754,67.91732260596987,109.4643861553437,0.522709454067601,131.80856262148427
Conveyor,180,Idle,Humid,1.060219685994989,79.6619034234712,102.0260781979269,0.023591967780795864,175.65020285958187
Motor,120,Standby,Dusty,1.4054635670980762,57.4545789613373,81.58396987593218,0.41373289758032983,159.75378515324442
Compressor,180,Production,Indoor,2.0924066353820927,70.61740882621439,109.19588763649489,0.29924841926016044,139.63979618090622
Pump,120,Standby,Outdoor,2.230209864720024,69.61840998793272,87.07893047825544,0.7481056678874892,120.7269442925092
Conveyor,180,Standby,Outdoor,2.3690401874548255,93.51165941946708,86.2615390930042,0.20827767515354578,128.3042530441614
Compressor,180,Idle,Humid,2.055444739443884,76.61017885504455,82.92272365093476,0.20522008729407182,147.672055699875
Compressor,180,Overload,Humid,2.2307562025079046,72.15233022462805,98.75246933796947,0.18951904323737678,144.3236333468569
CNC Mill,120,Overload,Humid,2.4517403542703406,68.68515267314699,118.17586447706032,0.12561561315623593,150.17588377512848
