machine_type,maintenance_interval,operating_mode,environment,vibration_level_mm_s,temperature_F,pressure_PSI,load_factor,days_to_failure
Pump,80,Overload,Dusty,3.7,72.3,67,0.47,8.7
Motor,112,Idle,Outdoor,0.7,86.1,135,0.1,108.3
Pump,167,Idle,Indoor,0.7,64.6,108,0.21,104.5
Compressor,167,Overload,Dusty,3.2,99.2,97,0.79,20.7
Pump,119,Overload,Outdoor,2.8,90.4,84,0.18,6.3
Compressor,94,Overload,Outdoor,3.5,69.6,74,0.7,17.2
Motor,152,Production,Dusty,2.0,92.1,95,0.42,51.9
Motor,146,Production,Indoor,2.2,98.1,127,0.7,43.1
Pump,100,Overload,Indoor,3.7,90.1,65,0.89,12.1
Compressor,174,Idle,Indoor,0.4,85.6,123,0.58,80.2
Compressor,132,Production,Outdoor,1.9,54.8,89,0.64,34.6
Compressor,94,Idle,Indoor,0.8,69.1,137,0.78,105.5
Compressor,86,Idle,Indoor,0.7,85.5,68,0.45,110.8
Pump,155,Overload,Outdoor,2.5,57.0,108,0.53,17.7
Compressor,174,Idle,Outdoor,0.5,94.0,109,0.34,83.1
Motor,121,Idle,Dusty,0.9,66.2,69,0.39,112.1
Motor,175,Production,Indoor,1.6,93.0,60,0.51,39.1
Motor,103,Idle,Dusty,0.6,58.4,77,0.55,107.7
Motor,98,Idle,Outdoor,0.3,85.6,71,0.9,90.2
Motor,146,Overload,Indoor,3.4,67.3,110,0.64,15.1
Compressor,127,Idle,Dusty,0.6,88.1,79,0.68,119.4
Compressor,171,Idle,Indoor,0.7,57.5,100,0.66,105.3
Compressor,149,Overload,Dusty,3.4,90.5,87,0.18,18.6
Motor,163,Idle,Indoor,0.8,83.8,118,0.27,95.5
Motor,171,Overload,Indoor,3.8,75.8,80,0.9,10.2
Compressor,178,Production,Indoor,2.4,63.9,116,0.78,66.0
Compressor,172,Production,Outdoor,2.3,83.4,106,0.4,55.7
Motor,141,Idle,Outdoor,0.8,84.6,112,0.28,80.2
Compressor,126,Idle,Indoor,0.3,65.4,103,0.51,99.8
Motor,161,Production,Indoor,1.8,74.3,132,0.45,39.8
Pump,128,Idle,Indoor,0.7,75.0,105,0.71,103.1
Motor,176,Idle,Outdoor,1.0,68.5,61,0.84,98.8
Pump,175,Idle,Dusty,0.7,65.3,75,0.31,102.9
Compressor,113,Overload,Outdoor,2.8,96.5,65,0.27,16.1
Compressor,165,Overload,Outdoor,4.0,66.1,127,0.21,7.8
Compressor,85,Production,Dusty,1.9,62.8,108,0.17,41.7
Pump,67,Overload,Outdoor,3.3,89.8,131,0.37,21.0
Motor,110,Production,Indoor,1.6,57.8,138,0.77,53.1
Motor,74,Production,Outdoor,1.5,76.9,86,0.76,31.5
Motor,106,Idle,Dusty,0.6,81.9,118,0.88,113.7
Compressor,78,Production,Outdoor,1.8,53.9,62,0.87,61.8
Pump,117,Overload,Outdoor,3.1,57.8,80,0.54,18.8
Pump,162,Idle,Dusty,0.8,71.8,118,0.14,91.2
Pump,88,Production,Outdoor,1.9,54.6,67,0.35,60.3
Motor,149,Production,Indoor,2.2,73.7,73,0.45,49.0
Motor,111,Overload,Dusty,2.6,50.8,134,0.5,24.0
Compressor,61,Idle,Indoor,0.8,93.4,110,0.74,104.6
Pump,110,Production,Dusty,2.1,97.1,90,0.87,35.1
Compressor,105,Production,Outdoor,1.7,51.9,109,0.37,41.0
Motor,93,Production,Dusty,1.8,64.1,69,0.66,63.8
Pump,80,Idle,Indoor,1.0,64.1,74,0.7,81.6
Motor,172,Overload,Dusty,4.0,79.0,129,0.55,13.3
Compressor,164,Idle,Outdoor,0.8,95.1,100,0.76,109.6
Pump,164,Production,Dusty,1.8,54.6,85,0.86,34.0
Pump,158,Overload,Indoor,3.2,77.7,77,0.86,6.7
Motor,98,Idle,Outdoor,0.4,77.5,95,0.81,117.2
Pump,133,Overload,Outdoor,3.6,80.9,68,0.17,24.4
Compressor,125,Idle,Indoor,0.5,75.7,78,0.57,95.9
Compressor,130,Idle,Indoor,0.6,79.6,88,0.67,112.5
Compressor,133,Overload,Outdoor,3.7,66.5,94,0.3,16.2
Pump,164,Production,Dusty,2.0,87.3,106,0.87,32.3
Pump,97,Overload,Indoor,3.2,98.2,60,0.88,6.7
Pump,134,Idle,Indoor,0.5,62.6,115,0.16,81.7
Compressor,60,Overload,Indoor,3.4,84.8,90,0.69,18.9
Motor,135,Overload,Indoor,2.9,63.9,75,0.47,24.0
Pump,100,Production,Dusty,1.7,84.9,102,0.35,40.6
Motor,94,Idle,Indoor,0.8,97.0,93,0.56,86.5
Motor,168,Idle,Indoor,0.6,51.3,90,0.75,117.3
Compressor,148,Overload,Outdoor,2.7,91.5,105,0.15,16.9
Compressor,65,Idle,Indoor,0.6,76.7,119,0.83,90.9
Motor,142,Overload,Indoor,3.7,62.1,76,0.3,23.9
Pump,163,Idle,Outdoor,0.7,67.9,69,0.64,89.1
Motor,71,Production,Indoor,2.0,77.6,104,0.8,63.3
Compressor,138,Idle,Indoor,0.7,81.0,116,0.27,99.2
Motor,157,Production,Outdoor,2.1,69.6,94,0.82,69.2
Motor,178,Idle,Outdoor,0.7,93.1,135,0.22,111.3
Pump,93,Idle,Outdoor,0.6,74.6,86,0.61,90.3
Compressor,139,Overload,Dusty,2.6,70.0,115,0.24,7.6
Pump,91,Idle,Outdoor,0.9,80.1,77,0.76,99.0
Pump,129,Production,Indoor,1.8,76.7,88,0.82,37.1
Pump,85,Idle,Indoor,0.7,74.1,115,0.51,107.6
Motor,95,Overload,Indoor,3.9,54.2,107,0.89,6.2
Motor,87,Overload,Dusty,3.1,76.6,117,0.15,14.7
Compressor,82,Overload,Outdoor,2.9,87.5,62,0.79,19.3
Pump,178,Production,Indoor,2.0,59.1,105,0.77,39.7
Pump,72,Production,Indoor,1.8,84.0,123,0.5,34.8
Compressor,67,Overload,Indoor,3.4,78.2,90,0.37,19.7
Compressor,168,Production,Outdoor,2.1,80.3,78,0.18,39.8
Motor,134,Production,Outdoor,1.9,64.3,73,0.82,49.5
Pump,95,Overload,Dusty,2.6,94.8,106,0.83,5.4
Motor,110,Overload,Outdoor,3.7,96.5,104,0.56,10.2
Motor,177,Overload,Dusty,3.8,60.0,118,0.52,9.1
Pump,70,Idle,Dusty,0.7,74.1,102,0.14,91.5
Motor,103,Production,Outdoor,2.0,66.1,124,0.3,51.9
Compressor,83,Idle,Outdoor,0.3,70.6,87,0.84,84.7
Pump,179,Production,Dusty,2.2,96.9,74,0.15,46.3
Compressor,164,Production,Indoor,1.5,60.1,73,0.23,61.3
Motor,63,Idle,Indoor,0.5,93.9,91,0.75,105.4
Pump,97,Overload,Indoor,3.6,87.4,100,0.29,23.0
Pump,163,Idle,Dusty,0.6,77.1,94,0.37,101.3
Compressor,170,Overload,Indoor,3.0,74.8,119,0.56,7.8
Pump,86,Idle,Dusty,0.4,57.2,76,0.67,92.5
Motor,72,Idle,Dusty,0.9,68.9,96,0.58,93.7
Compressor,127,Overload,Indoor,3.7,86.0,111,0.66,8.0
Compressor,133,Production,Outdoor,1.8,61.4,93,0.33,43.8
Motor,141,Overload,Indoor,2.7,62.8,118,0.57,16.7
Motor,172,Idle,Dusty,0.9,80.3,93,0.69,108.3
Motor,160,Idle,Indoor,0.9,58.3,74,0.77,98.0
Compressor,80,Idle,Dusty,0.9,52.7,86,0.74,100.8
Pump,149,Idle,Dusty,0.7,96.1,97,0.48,84.6
Compressor,110,Overload,Outdoor,3.2,58.8,99,0.44,9.5
Motor,85,Idle,Outdoor,0.6,83.2,74,0.87,103.2
Compressor,120,Idle,Indoor,0.7,65.0,84,0.42,114.4
Motor,88,Overload,Indoor,2.8,51.8,97,0.55,23.0
Motor,125,Production,Outdoor,1.8,72.0,92,0.55,58.6
Compressor,162,Overload,Dusty,2.7,68.7,81,0.62,11.7
Motor,66,Idle,Indoor,0.3,70.4,104,0.3,86.2
Motor,170,Overload,Indoor,3.5,58.9,112,0.29,5.4
Motor,166,Production,Indoor,2.3,57.1,92,0.36,69.5
Compressor,144,Production,Dusty,1.5,56.1,130,0.61,33.4
Compressor,165,Production,Dusty,2.4,69.0,107,0.31,62.7
Pump,157,Idle,Indoor,0.5,64.7,135,0.71,111.0
Motor,146,Idle,Indoor,0.9,74.2,100,0.69,99.5
Motor,81,Production,Dusty,2.1,71.1,70,0.82,40.3
Motor,144,Production,Outdoor,1.8,78.8,81,0.54,30.7
Pump,165,Idle,Outdoor,0.6,56.8,132,0.8,108.8
Compressor,69,Production,Indoor,2.1,91.9,92,0.72,56.6
Compressor,124,Production,Dusty,1.5,54.5,121,0.15,36.7
Pump,118,Overload,Dusty,2.9,80.5,135,0.42,12.1
Motor,95,Production,Dusty,1.6,63.1,107,0.14,49.4
Pump,85,Production,Outdoor,2.5,55.3,66,0.68,36.2
Pump,98,Idle,Dusty,0.8,91.0,123,0.66,103.9
Pump,103,Production,Dusty,1.5,95.9,70,0.86,34.1
Compressor,67,Overload,Dusty,3.3,90.3,112,0.65,6.7
Compressor,118,Production,Outdoor,2.5,52.6,113,0.14,66.1
Motor,66,Overload,Outdoor,4.0,56.0,118,0.25,16.1
Compressor,153,Production,Dusty,1.9,72.8,101,0.62,61.8
Pump,157,Production,Dusty,2.1,84.8,87,0.68,39.2
Pump,145,Overload,Indoor,3.0,86.9,101,0.44,15.8
Motor,89,Production,Dusty,1.9,93.7,102,0.85,48.5
Pump,121,Overload,Indoor,2.6,70.1,98,0.6,5.2
Compressor,162,Overload,Indoor,3.1,86.6,60,0.47,6.8
Pump,84,Production,Indoor,2.4,95.5,63,0.19,58.6
Motor,96,Idle,Indoor,0.8,62.9,107,0.89,88.7
Pump,157,Overload,Indoor,3.9,87.2,65,0.42,14.3
Pump,169,Idle,Outdoor,0.8,52.3,90,0.13,104.3
Pump,113,Production,Dusty,2.3,60.8,101,0.58,44.0
Motor,141,Idle,Outdoor,0.4,99.8,131,0.47,95.8
Pump,127,Idle,Outdoor,0.5,93.0,96,0.41,101.5
Pump,157,Overload,Outdoor,2.7,90.5,112,0.54,22.8
Motor,131,Overload,Dusty,2.9,86.2,99,0.16,10.1
Motor,99,Idle,Indoor,0.9,74.0,107,0.76,119.7
Pump,65,Production,Dusty,2.0,93.4,79,0.23,64.6
Pump,101,Idle,Dusty,0.5,84.9,75,0.81,89.5
Compressor,101,Idle,Outdoor,0.9,91.0,78,0.83,81.2
Pump,71,Production,Dusty,2.3,59.7,66,0.36,63.3
Pump,94,Idle,Outdoor,0.7,64.2,61,0.45,90.4
Motor,96,Production,Indoor,1.8,89.4,73,0.72,55.3
Pump,69,Overload,Outdoor,2.7,67.3,109,0.14,20.4
Compressor,158,Production,Indoor,2.5,69.2,65,0.76,57.0
Motor,146,Overload,Outdoor,3.2,57.9,97,0.86,20.4
Compressor,88,Overload,Indoor,3.2,64.9,127,0.72,8.3
Motor,167,Production,Indoor,1.6,97.2,93,0.61,64.7
Compressor,60,Production,Outdoor,2.3,94.7,78,0.27,47.7
Compressor,167,Idle,Dusty,0.8,98.4,74,0.79,94.7
Motor,175,Idle,Dusty,0.4,81.3,70,0.13,98.1
Pump,153,Production,Outdoor,2.1,79.9,108,0.3,61.9
Compressor,145,Idle,Outdoor,0.4,66.3,107,0.45,99.7
Motor,123,Idle,Outdoor,0.4,74.0,108,0.33,98.6
Pump,67,Idle,Dusty,0.8,74.0,68,0.29,118.1
Motor,145,Idle,Indoor,0.7,78.0,60,0.36,80.7
Motor,92,Production,Indoor,2.0,53.9,91,0.21,65.3
Compressor,157,Overload,Outdoor,2.8,58.4,68,0.61,18.9
Pump,162,Overload,Dusty,3.8,77.1,116,0.8,16.9
Compressor,66,Production,Dusty,2.1,94.7,103,0.75,61.3
Motor,73,Production,Dusty,2.0,86.2,107,0.62,31.6
Compressor,169,Idle,Indoor,0.9,59.1,123,0.63,88.8
Compressor,81,Overload,Indoor,2.7,99.8,137,0.62,5.4
Motor,122,Production,Dusty,1.9,62.9,97,0.79,38.8
Pump,63,Overload,Outdoor,3.1,99.4,63,0.79,21.9
Motor,138,Idle,Outdoor,0.6,89.6,112,0.89,109.0
Pump,77,Production,Indoor,2.4,86.7,70,0.67,38.4
Motor,61,Production,Dusty,1.7,70.7,65,0.45,39.5
Compressor,148,Production,Outdoor,2.4,54.8,112,0.35,47.8
Pump,99,Production,Indoor,2.4,61.9,78,0.81,30.4
Motor,135,Production,Outdoor,1.7,57.3,95,0.57,50.8
Pump,166,Idle,Indoor,0.5,67.8,102,0.73,94.4
Pump,79,Overload,Outdoor,3.8,99.3,69,0.28,9.1
Motor,160,Production,Indoor,1.5,54.4,68,0.57,34.9
Compressor,102,Production,Outdoor,1.9,97.6,111,0.79,49.2
Compressor,103,Overload,Outdoor,2.9,57.0,62,0.35,15.4
Motor,144,Production,Indoor,1.7,86.5,72,0.29,56.9
Compressor,178,Overload,Outdoor,2.8,68.7,61,0.3,18.9
Compressor,131,Production,Indoor,2.4,84.5,114,0.27,52.8
Motor,121,Production,Outdoor,1.9,100.0,63,0.88,56.0
Pump,136,Idle,Dusty,1.0,86.9,130,0.42,110.1
Motor,141,Production,Indoor,2.4,89.9,94,0.75,47.5
Compressor,124,Production,Outdoor,2.0,69.8,115,0.41,30.2
Compressor,103,Idle,Outdoor,0.7,53.7,108,0.63,101.8
Pump,85,Production,Outdoor,2.3,74.0,62,0.37,50.0
Compressor,102,Idle,Dusty,0.6,90.6,117,0.86,103.2
Compressor,176,Idle,Dusty,0.9,62.2,134,0.15,97.2
Motor,127,Idle,Indoor,0.6,64.2,84,0.74,87.8
Motor,77,Overload,Outdoor,3.4,63.6,93,0.2,6.8
Compressor,72,Overload,Dusty,2.7,85.5,68,0.55,22.2
Motor,66,Production,Outdoor,2.4,77.5,63,0.61,47.0
Pump,145,Overload,Indoor,2.5,89.7,111,0.24,17.8
Pump,85,Idle,Dusty,0.9,89.0,81,0.76,116.0
